instance,seed,cutoff,size,ref,rel_err,valid,wall_time
large2,23,60,594,594,0.0000,1,60.0483
large2,24,60,594,594,0.0000,1,60.0054
large2,25,60,594,594,0.0000,1,60.0539
large2,26,60,594,594,0.0000,1,60.0018
large2,27,60,594,594,0.0000,1,60.0334
large2,28,60,594,594,0.0000,1,60.0177
large2,29,60,594,594,0.0000,1,60.0172
large2,30,60,594,594,0.0000,1,60.0229
large2,31,60,594,594,0.0000,1,60.0120
large2,32,60,594,594,0.0000,1,60.0049
large2,33,60,594,594,0.0000,1,60.0024
large2,34,60,594,594,0.0000,1,60.1519
large2,35,60,594,594,0.0000,1,60.0127
large2,36,60,594,594,0.0000,1,60.0118
large2,37,60,594,594,0.0000,1,60.0086
large2,38,60,594,594,0.0000,1,60.0065
large2,39,60,594,594,0.0000,1,60.0149
large2,40,60,594,594,0.0000,1,60.0026
large2,41,60,594,594,0.0000,1,60.0018
large2,42,60,594,594,0.0000,1,60.0086
large2,43,60,594,594,0.0000,1,60.0155
large2,44,60,594,594,0.0000,1,60.0032
large2,45,60,594,594,0.0000,1,60.0015
large2,46,60,594,594,0.0000,1,60.0110
large2,47,60,594,594,0.0000,1,60.0051
large2,48,60,594,594,0.0000,1,60.0057
large2,49,60,594,594,0.0000,1,60.0236
large2,50,60,594,594,0.0000,1,60.0004
large3,1,60,2203,2203,0.0000,1,60.0042
large3,2,60,2203,2203,0.0000,1,60.0148
large3,3,60,2203,2203,0.0000,1,60.0020
large3,4,60,2203,2203,0.0000,1,60.0034
large3,5,60,2204,2203,0.0005,1,60.0159
large3,6,60,2204,2203,0.0005,1,60.0069
large3,7,60,2203,2203,0.0000,1,60.0826
large3,8,60,2203,2203,0.0000,1,60.0143
large3,9,60,2203,2203,0.0000,1,60.0247
large3,10,60,2203,2203,0.0000,1,60.0022
large3,11,60,2203,2203,0.0000,1,60.0011
large3,12,60,2204,2203,0.0005,1,60.0101
large3,13,60,2204,2203,0.0005,1,60.0049
large3,14,60,2204,2203,0.0005,1,60.0103
large3,15,60,2203,2203,0.0000,1,60.0244
large3,16,60,2203,2203,0.0000,1,60.1284
large3,17,60,2204,2203,0.0005,1,60.0036
large3,18,60,2203,2203,0.0000,1,60.0091
large3,19,60,2203,2203,0.0000,1,60.0095
large3,20,60,2203,2203,0.0000,1,60.0067
large3,21,60,2204,2203,0.0005,1,60.0109
large3,22,60,2203,2203,0.0000,1,60.0062
large3,23,60,2205,2203,0.0009,1,60.0052
large3,24,60,2203,2203,0.0000,1,60.0234
large3,25,60,2204,2203,0.0005,1,60.0040
large3,26,60,2203,2203,0.0000,1,60.0048
large3,27,60,2204,2203,0.0005,1,60.0135
large3,28,60,2203,2203,0.0000,1,60.0144
large3,29,60,2203,2203,0.0000,1,60.0103
large3,30,60,2203,2203,0.0000,1,60.0161
large3,31,60,2203,2203,0.0000,1,60.1411
large3,32,60,2203,2203,0.0000,1,60.0182
large3,33,60,2203,2203,0.0000,1,60.0176
large3,34,60,2203,2203,0.0000,1,60.0056
large3,35,60,2203,2203,0.0000,1,60.0106
large3,36,60,2203,2203,0.0000,1,60.0051
large3,37,60,2203,2203,0.0000,1,60.0243
large3,38,60,2203,2203,0.0000,1,60.0246
large3,39,60,2204,2203,0.0005,1,60.0109
large3,40,60,2203,2203,0.0000,1,60.0193
large3,41,60,2203,2203,0.0000,1,60.0024
large3,42,60,2204,2203,0.0005,1,60.0066
large3,43,60,2203,2203,0.0000,1,60.0013
large3,44,60,2203,2203,0.0000,1,60.0087
large3,45,60,2203,2203,0.0000,1,60.0120
large3,46,60,2203,2203,0.0000,1,60.0079
large3,47,60,2203,2203,0.0000,1,60.0892
large3,48,60,2203,2203,0.0000,1,60.0102
large3,49,60,2203,2203,0.0000,1,60.0042
